Idade,Atrito,Viagem_negócios,Departamento,Distância_casa,Educação,Campo_educação,ID_funcionário,Stisfação_ambiente,Genero,Envolvimento_trabalho,Nível_trabalho,Função,Satisfação_trabalho,Status_civil,Salário,Qtd_empresas_trabalhadas,Hora_extra,Porcentacem_aumento_salário,Desempenho,Satisfação_relação,Qtd_opções_ações,Anos_trabalhando,Qtd_treinamentos,Equilibro_trabalho_pessoal,Anos_companhia,Anos_mesmo_cargo,Anos_pós_promoção,Anos_mesmo_gestor
29,Não,Não,Vendas,2,3,Ciências da vida,469,4,M,3,2,Executivo de vendas,3,Casado,4649,1,Não,14,3,1,1,4,3,2,4,3,0,2
42,Não,Raramente,Recursos humanos,2,1,Curso técnico,470,3,M,3,1,Recursos humanos,3,Divorciado,2696,0,Sim,11,3,3,1,4,5,3,3,2,1,0
32,Não,Raramente,Pesquisa & Desenvolvimento,2,3,Medicina,471,3,F,3,1,Técnico de laboratório,2,Casado,2370,1,Não,13,3,3,1,8,4,3,8,0,0,7
48,Não,Raramente,Vendas,29,1,Medicina,473,1,F,3,3,Gerente,3,Casado,12504,3,Não,21,4,2,1,15,3,1,0,0,0,0
37,Não,Raramente,Pesquisa & Desenvolvimento,6,3,Medicina,474,3,M,4,2,Pesquisador,1,Divorciado,5974,4,Sim,13,3,1,2,13,2,3,7,7,6,7
30,Não,Não,Vendas,25,2,Curso técnico,475,4,F,3,2,Executivo de vendas,3,Casado,4736,7,Sim,12,3,2,1,4,2,4,2,2,2,2
26,Não,Raramente,Vendas,1,3,Ciências da vida,476,3,M,3,2,Executivo de vendas,3,Casado,5296,1,Não,17,3,2,1,8,3,3,8,7,7,7
42,Não,Raramente,Pesquisa & Desenvolvimento,2,4,Outro,477,1,M,2,2,Representante de saúde,4,Solteiro,6781,3,Não,23,4,2,0,14,6,3,1,0,0,0
21,Sim,Frequentemente,Vendas,1,1,Curso técnico,478,1,F,2,1,Representante de vendas,2,Solteiro,2174,1,Sim,11,3,3,0,3,3,3,3,2,1,2
36,Não,Não,Vendas,1,5,Medicina,479,4,F,3,2,Executivo de vendas,4,Solteiro,6653,4,Não,15,3,2,0,7,6,3,1,0,0,0
36,Não,Frequentemente,Vendas,3,4,Medicina,481,1,M,2,3,Executivo de vendas,4,Casado,9699,4,Não,11,3,1,1,16,2,3,13,9,1,12
57,Não,Raramente,Pesquisa & Desenvolvimento,1,4,Medicina,482,4,M,3,2,Representante de saúde,3,Casado,6755,2,Não,11,3,3,0,15,2,3,3,2,1,2
40,Não,Raramente,Pesquisa & Desenvolvimento,10,4,Ciências da vida,483,4,F,4,1,Técnico de laboratório,3,Casado,2213,3,Sim,13,3,3,1,10,3,3,7,7,1,7
21,Não,Não,Vendas,9,2,Medicina,484,1,M,3,1,Representante de vendas,4,Solteiro,2610,1,Não,24,4,3,0,3,3,2,3,2,2,2
33,Sim,Raramente,Vendas,5,3,Marketing,485,4,F,3,1,Representante de vendas,3,Solteiro,2851,1,Sim,13,3,2,0,1,2,3,1,0,0,0
37,Não,Raramente,Pesquisa & Desenvolvimento,10,3,Medicina,486,3,F,3,1,Técnico de laboratório,1,Casado,3452,6,Não,20,4,2,1,17,3,3,5,4,0,3
46,Não,Não,Pesquisa & Desenvolvimento,7,4,Medicina,487,3,F,3,2,Diretor de manufatura,3,Casado,5258,2,Não,14,3,3,0,7,2,4,1,0,0,0
41,Sim,Frequentemente,Vendas,4,3,Marketing,488,1,M,3,2,Executivo de vendas,2,Solteiro,9355,1,Não,18,3,3,0,8,5,3,8,7,7,7
50,Não,Raramente,Pesquisa & Desenvolvimento,10,3,Curso técnico,491,4,M,2,3,Representante de saúde,4,Solteiro,10496,6,Não,15,3,4,0,20,2,3,4,3,1,3
40,Sim,Raramente,Vendas,22,2,Marketing,492,3,M,2,2,Executivo de vendas,3,Casado,6380,2,Sim,12,3,1,2,8,6,3,6,4,1,0
31,Não,Raramente,Pesquisa & Desenvolvimento,9,4,Ciências da vida,493,3,M,2,1,Pesquisador,2,Solteiro,2657,0,Sim,16,3,4,0,3,5,3,2,2,2,2
21,Sim,Raramente,Vendas,12,3,Ciências da vida,494,3,F,4,1,Representante de vendas,2,Solteiro,2716,1,Não,15,3,4,0,1,0,3,1,0,0,0
29,Não,Raramente,Pesquisa & Desenvolvimento,23,3,Ciências da vida,495,4,M,3,1,Pesquisador,4,Solteiro,2201,9,Não,16,3,4,0,6,4,3,3,2,1,2
35,Não,Raramente,Pesquisa & Desenvolvimento,9,4,Ciências da vida,496,3,M,2,2,Representante de saúde,2,Solteiro,6540,9,Não,19,3,3,0,10,5,3,1,1,0,0
27,Não,Raramente,Pesquisa & Desenvolvimento,1,2,Medicina,497,4,M,3,1,Técnico de laboratório,2,Divorciado,3816,1,Não,11,3,2,1,5,2,3,5,2,0,4
28,Não,Raramente,Vendas,9,4,Ciências da vida,498,2,M,3,2,Executivo de vendas,4,Solteiro,5253,1,Não,16,3,4,0,7,1,3,7,5,0,7
49,Não,Raramente,Pesquisa & Desenvolvimento,7,3,Outro,499,2,M,2,3,Representante de saúde,3,Solteiro,10965,8,Não,24,4,3,0,26,2,3,5,2,0,0
51,Não,Raramente,Vendas,14,2,Ciências da vida,500,3,F,3,2,Executivo de vendas,4,Casado,4936,4,Não,11,3,3,1,18,2,2,7,7,0,7
36,Não,Raramente,Pesquisa & Desenvolvimento,2,3,Ciências da vida,501,4,F,3,1,Pesquisador,3,Casado,2543,4,Não,13,3,2,1,6,3,3,2,2,2,2
34,Sim,Não,Vendas,19,3,Marketing,502,1,M,4,2,Executivo de vendas,4,Solteiro,5304,8,Sim,13,3,2,0,9,3,2,5,2,0,4
55,Não,Raramente,Pesquisa & Desenvolvimento,2,3,Ciências da vida,505,3,F,3,4,Gerente,4,Solteiro,16659,2,Sim,13,3,3,0,30,2,3,5,4,1,2
24,Não,Raramente,Vendas,10,4,Marketing,507,4,F,3,2,Executivo de vendas,3,Divorciado,4260,1,Sim,12,3,4,1,5,2,4,5,2,0,3
30,Não,Raramente,Vendas,2,1,Curso técnico,508,3,M,3,1,Representante de vendas,2,Casado,2476,1,Não,18,3,1,1,1,3,3,1,0,0,0
26,Sim,Frequentemente,Pesquisa & Desenvolvimento,3,1,Curso técnico,510,3,M,3,1,Pesquisador,1,Solteiro,3102,0,Não,22,4,3,0,7,2,3,6,4,0,4
22,Não,Raramente,Pesquisa & Desenvolvimento,11,3,Medicina,511,1,F,3,1,Pesquisador,2,Casado,2244,1,Não,13,3,4,1,2,1,3,2,1,1,2
36,Não,Raramente,Vendas,2,2,Medicina,513,2,M,2,3,Executivo de vendas,3,Casado,7596,1,Não,13,3,2,2,10,2,3,10,9,9,0
30,Sim,Frequentemente,Pesquisa & Desenvolvimento,4,3,Curso técnico,514,3,M,3,1,Pesquisador,4,Solteiro,2285,9,Sim,23,4,3,0,3,4,3,1,0,0,0
37,Não,Raramente,Pesquisa & Desenvolvimento,14,3,Ciências da vida,515,4,F,3,1,Técnico de laboratório,1,Divorciado,3034,1,Não,12,3,3,1,18,2,2,18,7,12,17
40,Não,Raramente,Vendas,2,2,Marketing,516,4,F,3,2,Executivo de vendas,2,Divorciado,5715,7,Não,12,3,3,2,8,5,3,5,4,1,3
42,Não,Raramente,Pesquisa & Desenvolvimento,1,4,Ciências da vida,517,2,F,3,1,Técnico de laboratório,1,Divorciado,2576,3,Não,16,3,2,1,8,5,3,5,2,1,2
37,Não,Raramente,Pesquisa & Desenvolvimento,10,4,Ciências da vida,518,3,M,3,2,Diretor de manufatura,2,Solteiro,4197,2,Sim,12,3,4,0,18,2,2,1,0,0,1
43,Não,Raramente,Pesquisa & Desenvolvimento,12,3,Ciências da vida,520,1,M,2,4,Diretor de pesquisa,2,Divorciado,14336,1,Não,11,3,3,1,25,3,3,25,10,3,9
40,Não,Raramente,Pesquisa & Desenvolvimento,2,3,Medicina,521,2,F,2,2,Técnico de laboratório,3,Casado,3448,6,Não,22,4,2,1,20,3,3,1,0,0,0
54,Não,Raramente,Pesquisa & Desenvolvimento,5,2,Medicina,522,1,M,3,5,Diretor de pesquisa,1,Casado,19406,4,Não,11,3,3,1,24,4,2,4,2,1,2
34,Não,Não,Vendas,4,4,Marketing,523,3,F,3,2,Executivo de vendas,3,Casado,6538,9,Não,15,3,1,1,6,3,3,3,2,1,2
31,Não,Raramente,Pesquisa & Desenvolvimento,7,2,Medicina,524,2,F,3,2,Diretor de manufatura,1,Casado,4306,1,Não,12,3,2,1,13,5,1,13,10,3,12
43,Não,Frequentemente,Pesquisa & Desenvolvimento,21,3,Medicina,525,4,M,3,1,Técnico de laboratório,4,Casado,2258,7,Não,20,4,1,1,8,1,3,3,2,1,2
43,Não,Raramente,Pesquisa & Desenvolvimento,8,4,Outro,526,3,F,3,2,Representante de saúde,3,Divorciado,4522,4,Sim,14,3,4,0,8,3,3,5,2,0,2
25,Não,Raramente,Vendas,4,2,Ciências da vida,527,2,F,2,2,Executivo de vendas,4,Solteiro,4487,1,Sim,11,3,2,0,5,3,3,5,4,1,3
37,Não,Não,Pesquisa & Desenvolvimento,25,5,Medicina,529,2,F,3,2,Pesquisador,3,Casado,4449,3,Sim,15,3,1,2,15,2,3,13,11,10,7
31,Não,Raramente,Pesquisa & Desenvolvimento,1,2,Ciências da vida,530,4,M,2,1,Técnico de laboratório,1,Casado,2218,1,Não,12,3,3,1,4,3,3,4,2,3,2
39,Não,Frequentemente,Pesquisa & Desenvolvimento,1,1,Ciências da vida,531,2,M,3,5,Gerente,3,Divorciado,19197,1,Sim,14,3,3,1,21,3,3,21,8,1,6
56,Não,Frequentemente,Vendas,6,3,Ciências da vida,532,3,F,4,4,Executivo de vendas,1,Casado,13212,9,Não,11,3,4,3,36,0,2,7,7,7,7
30,Não,Raramente,Vendas,12,3,Curso técnico,533,2,F,3,2,Executivo de vendas,3,Solteiro,6577,0,Não,11,3,2,0,6,6,3,5,4,4,4
41,Não,Raramente,Vendas,1,3,Marketing,534,2,M,4,3,Executivo de vendas,1,Casado,8392,1,Não,16,3,3,1,10,2,3,10,7,0,7
28,Não,Raramente,Pesquisa & Desenvolvimento,17,2,Medicina,536,3,M,3,2,Técnico de laboratório,1,Divorciado,4558,1,Não,12,3,4,1,10,2,3,10,0,1,8
25,Sim,Raramente,Pesquisa & Desenvolvimento,3,3,Medicina,538,1,M,3,1,Técnico de laboratório,1,Casado,4031,5,Não,13,3,3,1,6,5,3,2,2,0,2
52,Não,Raramente,Pesquisa & Desenvolvimento,3,3,Medicina,543,4,M,2,3,Diretor de manufatura,3,Casado,7969,2,Sim,14,3,3,0,28,4,3,5,4,0,4
45,Não,Raramente,Pesquisa & Desenvolvimento,10,2,Ciências da vida,544,1,M,3,1,Pesquisador,4,Casado,2654,3,Não,21,4,4,2,8,3,2,2,2,0,2
52,Não,Raramente,Pesquisa & Desenvolvimento,4,2,Ciências da vida,546,4,F,3,4,Gerente,4,Casado,16555,2,Não,13,3,4,0,31,2,1,5,2,1,4
42,Não,Frequentemente,Pesquisa & Desenvolvimento,29,2,Ciências da vida,547,1,F,3,2,Pesquisador,3,Divorciado,4556,2,Não,11,3,2,1,19,3,3,5,4,0,2
30,Não,Raramente,Pesquisa & Desenvolvimento,2,3,Ciências da vida,548,3,F,1,2,Diretor de manufatura,4,Solteiro,6091,2,Não,20,4,3,0,11,2,3,5,4,0,2
60,Não,Raramente,Pesquisa & Desenvolvimento,7,3,Ciências da vida,549,1,F,3,5,Gerente,1,Casado,19566,5,Não,11,3,4,0,33,5,1,29,8,11,10
46,Não,Raramente,Pesquisa & Desenvolvimento,18,3,Medicina,550,3,F,3,2,Diretor de manufatura,3,Divorciado,4810,2,Não,14,3,3,1,19,5,2,10,7,0,8
42,Não,Frequentemente,Pesquisa & Desenvolvimento,28,4,Curso técnico,551,4,F,2,2,Representante de saúde,4,Casado,4523,0,Não,11,3,4,3,7,4,4,6,5,0,4
24,Sim,Raramente,Vendas,1,1,Curso técnico,554,1,F,3,1,Representante de vendas,2,Solteiro,3202,1,Sim,16,3,2,0,6,4,3,5,3,1,4
34,Sim,Frequentemente,Vendas,6,2,Marketing,555,4,F,1,1,Representante de vendas,3,Divorciado,2351,0,Não,16,3,4,1,3,3,2,2,2,1,0
38,Não,Frequentemente,Pesquisa & Desenvolvimento,2,2,Ciências da vida,556,4,M,3,1,Técnico de laboratório,4,Casado,1702,1,Sim,23,4,3,1,1,3,3,1,0,0,0
40,Não,Raramente,Vendas,2,4,Ciências da vida,558,3,F,3,5,Gerente,3,Casado,18041,0,Não,14,3,4,0,21,2,3,20,15,1,12
26,Não,Raramente,Pesquisa & Desenvolvimento,23,3,Ciências da vida,560,1,F,3,1,Pesquisador,4,Divorciado,2886,1,Não,22,4,2,2,3,3,1,3,2,0,2
30,Não,Não,Pesquisa & Desenvolvimento,3,3,Ciências da vida,562,3,M,3,1,Técnico de laboratório,4,Casado,2097,4,Não,15,3,3,1,9,3,1,5,3,1,4
29,Não,Raramente,Pesquisa & Desenvolvimento,3,4,Medicina,564,2,M,2,3,Diretor de pesquisa,3,Casado,11935,1,Não,18,3,3,0,10,2,3,10,2,0,7
29,Sim,Raramente,Pesquisa & Desenvolvimento,25,5,Curso técnico,565,3,F,2,1,Pesquisador,2,Casado,2546,5,Não,16,3,2,0,6,2,4,2,2,1,1
19,Sim,Raramente,Recursos humanos,2,2,Curso técnico,566,1,M,2,1,Recursos humanos,4,Solteiro,2564,1,Não,12,3,3,0,1,3,4,1,0,0,0
30,Não,Não,Vendas,22,4,Outro,567,3,F,3,3,Executivo de vendas,1,Casado,8412,0,Não,11,3,3,0,10,3,3,9,8,7,8
57,Não,Raramente,Vendas,29,3,Marketing,568,1,M,2,4,Gerente,4,Divorciado,14118,3,Não,12,3,3,1,32,3,2,1,0,0,0
50,Não,Raramente,Pesquisa & Desenvolvimento,29,4,Ciências da vida,569,2,M,2,4,Gerente,3,Casado,17046,0,Não,15,3,2,1,28,2,3,27,10,15,7
30,Não,Não,Pesquisa & Desenvolvimento,2,3,Medicina,571,3,F,3,1,Técnico de laboratório,4,Solteiro,2564,0,Não,14,3,3,0,12,2,2,11,7,6,7
60,Não,Frequentemente,Vendas,28,3,Marketing,573,3,F,2,3,Executivo de vendas,1,Casado,10266,4,Não,19,3,4,0,22,5,4,18,13,13,11
47,Não,Raramente,Pesquisa & Desenvolvimento,2,2,Medicina,574,1,F,3,2,Diretor de manufatura,4,Divorciado,5070,5,Não,13,3,3,3,20,2,3,5,0,0,4
46,Não,Raramente,Pesquisa & Desenvolvimento,2,3,Ciências da vida,575,1,M,3,4,Diretor de pesquisa,3,Casado,17861,6,Não,13,3,3,0,26,2,1,3,2,0,1
35,Não,Raramente,Pesquisa & Desenvolvimento,22,3,Ciências da vida,577,4,M,1,1,Técnico de laboratório,3,Solteiro,4230,0,Não,15,3,3,0,6,2,3,5,4,4,3
54,Não,Raramente,Pesquisa & Desenvolvimento,8,4,Ciências da vida,578,3,F,3,2,Técnico de laboratório,3,Solteiro,3780,7,Não,11,3,3,0,19,3,3,1,0,0,0
34,Não,Raramente,Pesquisa & Desenvolvimento,2,4,Ciências da vida,579,4,M,2,1,Pesquisador,3,Divorciado,2768,3,Não,12,3,3,1,14,3,3,7,3,5,7
46,Não,Raramente,Vendas,10,3,Marketing,580,3,F,2,3,Executivo de vendas,4,Casado,9071,2,Sim,19,3,3,1,15,3,3,3,2,1,2
31,Não,Raramente,Pesquisa & Desenvolvimento,9,1,Ciências da vida,581,3,M,3,3,Diretor de manufatura,2,Divorciado,10648,1,Não,25,4,4,1,13,6,4,13,8,0,8
33,Sim,Raramente,Pesquisa & Desenvolvimento,15,1,Medicina,582,2,M,3,3,Gerente,3,Casado,13610,7,Sim,12,3,4,0,15,2,4,7,6,7,7
33,Sim,Raramente,Pesquisa & Desenvolvimento,10,1,Medicina,584,1,M,1,1,Técnico de laboratório,4,Divorciado,3408,7,Não,13,3,1,3,8,2,3,4,3,1,3
30,Não,Raramente,Vendas,7,1,Marketing,585,4,M,3,1,Representante de vendas,2,Solteiro,2983,0,Não,14,3,1,0,4,3,3,3,2,1,2
35,Não,Raramente,Pesquisa & Desenvolvimento,16,3,Ciências da vida,586,4,M,3,3,Representante de saúde,3,Casado,7632,4,Sim,12,3,3,0,10,2,3,8,7,0,0
31,Sim,Frequentemente,Pesquisa & Desenvolvimento,20,3,Ciências da vida,587,1,M,3,3,Representante de saúde,3,Casado,9824,3,Não,12,3,1,0,12,2,3,1,0,0,0
34,Sim,Frequentemente,Recursos humanos,23,3,Recursos humanos,590,2,F,3,3,Recursos humanos,1,Divorciado,9950,9,Sim,15,3,3,3,11,2,3,3,2,0,2
42,Não,Frequentemente,Pesquisa & Desenvolvimento,5,2,Outro,591,2,M,3,1,Técnico de laboratório,3,Casado,2093,4,Não,17,3,4,1,8,4,3,2,2,2,0
36,Não,Não,Vendas,10,4,Medicina,592,2,M,3,3,Executivo de vendas,4,Solteiro,9980,1,Não,14,3,4,0,10,3,2,10,3,9,7
22,Sim,Frequentemente,Pesquisa & Desenvolvimento,4,1,Curso técnico,593,3,M,2,1,Técnico de laboratório,3,Solteiro,3894,5,Não,16,3,3,0,4,3,3,2,2,1,2
48,Não,Raramente,Vendas,2,5,Marketing,595,2,F,3,2,Executivo de vendas,4,Casado,4051,2,Não,14,3,1,1,14,2,3,9,7,6,7
55,Não,Raramente,Vendas,18,5,Ciências da vida,597,1,F,3,4,Gerente,2,Solteiro,16835,3,Não,23,4,4,0,37,2,3,10,9,7,7
41,Não,Não,Vendas,10,2,Ciências da vida,599,4,M,3,2,Executivo de vendas,4,Solteiro,6230,7,Não,14,3,4,0,16,3,3,14,3,1,10
35,Não,Raramente,Vendas,1,3,Marketing,600,2,M,3,2,Executivo de vendas,3,Casado,4717,9,Não,11,3,3,0,15,2,3,11,9,6,9
40,Não,Raramente,Pesquisa & Desenvolvimento,6,3,Ciências da vida,601,2,F,3,4,Diretor de manufatura,3,Solteiro,13237,7,Não,15,3,3,0,22,3,3,20,6,5,13
39,Não,Frequentemente,Pesquisa & Desenvolvimento,8,1,Ciências da vida,602,3,F,3,1,Técnico de laboratório,3,Casado,3755,1,Não,11,3,1,1,8,3,3,8,3,0,7
31,Não,Raramente,Vendas,2,1,Ciências da vida,604,2,M,3,2,Executivo de vendas,4,Solteiro,6582,4,Sim,13,3,3,0,10,2,4,6,5,0,5
42,Não,Raramente,Pesquisa & Desenvolvimento,24,3,Medicina,605,4,M,3,3,Diretor de manufatura,1,Casado,7406,1,Sim,21,4,4,1,10,5,2,10,9,5,8
45,Não,Raramente,Vendas,2,3,Outro,606,4,M,3,2,Executivo de vendas,2,Casado,4805,0,Não,19,3,2,1,9,3,4,8,7,3,7
26,Sim,Frequentemente,Recursos humanos,17,4,Ciências da vida,608,2,F,3,1,Recursos humanos,3,Divorciado,2741,0,Sim,11,3,2,1,8,2,2,7,7,1,0
29,Não,Raramente,Pesquisa & Desenvolvimento,19,3,Curso técnico,611,4,M,3,2,Diretor de manufatura,4,Divorciado,4262,4,Não,12,3,2,2,8,2,4,3,2,1,2
33,Não,Raramente,Pesquisa & Desenvolvimento,1,5,Medicina,612,1,F,4,4,Diretor de pesquisa,3,Divorciado,16184,4,Não,19,3,3,1,10,2,3,6,1,0,5
31,Não,Raramente,Vendas,7,3,Ciências da vida,613,3,M,2,3,Gerente,4,Divorciado,11557,9,Não,21,4,3,1,10,3,2,5,4,0,1
18,Sim,Frequentemente,Vendas,5,3,Marketing,614,2,M,3,1,Representante de vendas,2,Solteiro,1878,1,Sim,14,3,4,0,0,3,3,0,0,0,0
40,Não,Não,Vendas,28,3,Outro,615,3,M,1,3,Executivo de vendas,1,Divorciado,10932,3,Não,15,3,3,1,20,2,3,1,0,0,1
41,Não,Não,Pesquisa & Desenvolvimento,2,4,Outro,616,1,F,2,2,Representante de saúde,3,Solteiro,6811,2,Sim,17,3,1,0,10,3,3,8,7,0,7
26,Não,Raramente,Vendas,29,2,Medicina,618,1,M,3,2,Executivo de vendas,3,Divorciado,4306,5,Não,12,3,1,2,8,5,3,0,0,0,0
35,Não,Raramente,Vendas,1,3,Medicina,620,1,F,3,2,Executivo de vendas,3,Solteiro,4859,1,Não,16,3,4,0,5,3,3,5,4,0,3
34,Não,Raramente,Vendas,21,4,Ciências da vida,621,4,M,4,2,Executivo de vendas,4,Solteiro,5337,1,Não,12,3,4,0,10,3,3,10,7,5,7
26,Sim,Raramente,Pesquisa & Desenvolvimento,24,3,Curso técnico,622,3,M,1,1,Técnico de laboratório,4,Solteiro,2340,1,Sim,18,3,2,0,1,3,1,1,0,0,0
37,Não,Raramente,Pesquisa & Desenvolvimento,1,3,Curso técnico,623,2,F,3,3,Diretor de manufatura,4,Solteiro,7491,4,Não,17,3,4,0,12,3,4,6,5,1,2
46,Não,Frequentemente,Pesquisa & Desenvolvimento,18,1,Medicina,624,1,F,3,3,Representante de saúde,3,Casado,10527,5,Não,11,3,4,0,28,3,2,2,2,1,2
41,Não,Raramente,Vendas,2,5,Ciências da vida,625,2,F,3,4,Gerente,1,Casado,16595,7,Não,16,3,2,1,22,2,3,18,16,11,8
37,Não,Não,Vendas,9,4,Medicina,626,1,M,3,3,Executivo de vendas,2,Divorciado,8834,1,Não,13,3,4,1,9,6,3,9,5,7,7
52,Não,Raramente,Pesquisa & Desenvolvimento,6,2,Curso técnico,630,4,M,3,2,Pesquisador,1,Divorciado,5577,3,Sim,12,3,2,2,18,3,3,10,9,6,9
32,Sim,Não,Vendas,11,4,Outro,631,4,M,4,2,Executivo de vendas,3,Casado,4707,8,Não,12,3,4,0,6,2,3,4,2,1,2
24,Não,Frequentemente,Vendas,24,3,Medicina,632,4,M,3,1,Representante de vendas,4,Casado,2400,0,Não,13,3,3,2,3,3,3,2,2,2,1
38,Não,Raramente,Pesquisa & Desenvolvimento,10,3,Medicina,634,3,F,3,2,Representante de saúde,3,Casado,9824,3,Não,19,3,3,1,18,4,3,1,0,0,0
37,Não,Raramente,Pesquisa & Desenvolvimento,1,4,Ciências da vida,635,2,F,3,2,Diretor de manufatura,2,Casado,6447,6,Não,12,3,2,1,8,2,2,6,5,4,3
49,Não,Raramente,Pesquisa & Desenvolvimento,18,4,Ciências da vida,638,4,M,2,5,Diretor de pesquisa,3,Divorciado,19502,1,Sim,17,3,3,1,31,5,3,31,9,0,9
24,Não,Raramente,Pesquisa & Desenvolvimento,23,3,Medicina,639,2,M,4,1,Pesquisador,4,Casado,2725,1,Sim,11,3,2,2,6,3,3,6,5,1,4
26,Não,Raramente,Vendas,28,2,Marketing,641,1,M,3,2,Executivo de vendas,2,Casado,6272,1,Não,20,4,4,2,6,5,4,5,3,1,4
24,Não,Raramente,Pesquisa & Desenvolvimento,17,2,Outro,643,4,M,2,1,Técnico de laboratório,2,Casado,2127,1,Não,21,4,4,1,1,2,3,1,0,0,0
50,Não,Frequentemente,Recursos humanos,3,3,Medicina,644,1,M,3,5,Gerente,2,Casado,18200,1,Não,11,3,3,1,32,2,3,32,5,10,7
25,Não,Raramente,Vendas,13,1,Medicina,645,2,M,3,1,Representante de vendas,3,Casado,2096,1,Não,11,3,3,0,7,1,3,7,4,0,6
24,Sim,Frequentemente,Pesquisa & Desenvolvimento,7,3,Ciências da vida,647,1,F,3,1,Técnico de laboratório,3,Casado,2886,1,Sim,16,3,4,1,6,4,3,6,3,1,2
30,Sim,Frequentemente,Vendas,12,4,Ciências da vida,648,2,M,2,1,Representante de vendas,1,Casado,2033,1,Não,18,3,3,1,1,2,4,1,0,0,0
34,Não,Raramente,Pesquisa & Desenvolvimento,1,2,Ciências da vida,649,2,M,2,1,Pesquisador,4,Casado,3622,1,Sim,13,3,4,1,6,3,3,6,5,1,3
31,Sim,Raramente,Vendas,13,4,Medicina,650,2,M,3,2,Executivo de vendas,1,Divorciado,4233,2,Não,17,3,3,0,9,2,1,3,1,1,2
35,Não,Raramente,Pesquisa & Desenvolvimento,25,2,Outro,652,1,M,2,2,Técnico de laboratório,4,Solteiro,3681,4,Não,14,3,4,0,9,3,3,3,2,0,2
31,Não,Raramente,Vendas,6,4,Medicina,653,1,M,4,2,Executivo de vendas,4,Divorciado,5460,4,Não,22,4,4,2,13,4,4,7,7,5,7
27,Não,Raramente,Pesquisa & Desenvolvimento,6,4,Medicina,655,1,F,2,1,Pesquisador,3,Divorciado,2187,0,Não,12,3,3,2,6,5,2,5,3,0,3
37,Não,Raramente,Vendas,2,3,Marketing,656,4,M,3,2,Executivo de vendas,3,Casado,9602,4,Sim,11,3,3,1,17,3,2,3,0,1,0
20,Não,Raramente,Pesquisa & Desenvolvimento,1,3,Ciências da vida,657,4,F,2,1,Pesquisador,2,Solteiro,2836,1,Não,13,3,4,0,1,0,4,1,0,0,0
42,Não,Raramente,Pesquisa & Desenvolvimento,2,4,Ciências da vida,659,3,F,3,2,Representante de saúde,4,Casado,4089,1,Não,13,3,2,2,10,4,3,10,2,2,2
43,Não,Raramente,Pesquisa & Desenvolvimento,6,4,Outro,661,2,M,2,4,Diretor de pesquisa,4,Divorciado,16627,4,Sim,14,3,3,1,21,3,2,1,0,0,0
38,Não,Raramente,Pesquisa & Desenvolvimento,1,1,Ciências da vida,662,3,F,3,1,Pesquisador,1,Solteiro,2619,3,Não,17,3,4,0,8,3,2,0,0,0,0
43,Não,Frequentemente,Pesquisa & Desenvolvimento,9,5,Medicina,663,4,M,3,2,Técnico de laboratório,3,Divorciado,5679,3,Sim,13,3,2,1,10,3,3,8,7,4,7
48,Não,Raramente,Pesquisa & Desenvolvimento,1,4,Ciências da vida,664,4,F,2,4,Gerente,1,Casado,15402,7,Não,11,3,1,1,21,3,1,3,2,0,2
44,Não,Raramente,Recursos humanos,1,4,Ciências da vida,665,1,F,2,2,Recursos humanos,3,Solteiro,5985,4,Não,11,3,2,0,10,1,4,2,2,0,2
34,Não,Raramente,Vendas,14,3,Curso técnico,666,3,F,3,1,Representante de vendas,3,Divorciado,2579,1,Sim,18,3,4,2,8,3,3,8,2,0,6
27,Sim,Raramente,Vendas,2,1,Marketing,667,3,M,3,1,Representante de vendas,1,Divorciado,3041,0,Não,11,3,2,1,5,3,3,4,3,0,2
21,Não,Raramente,Vendas,22,1,Curso técnico,669,3,M,3,1,Representante de vendas,3,Solteiro,3447,1,Não,11,3,3,0,3,2,3,3,2,1,2
44,Não,Raramente,Pesquisa & Desenvolvimento,3,4,Outro,671,4,M,3,5,Gerente,4,Casado,19513,4,Sim,12,3,1,1,26,2,4,2,2,0,1
22,Não,Raramente,Pesquisa & Desenvolvimento,6,1,Medicina,675,1,M,3,1,Pesquisador,3,Casado,2773,0,Não,20,4,4,0,3,3,3,2,2,2,2
33,Não,Raramente,Vendas,8,4,Marketing,677,3,M,3,2,Executivo de vendas,3,Divorciado,7104,0,Não,12,3,4,0,6,3,3,5,0,1,2
32,Não,Raramente,Pesquisa & Desenvolvimento,9,4,Ciências da vida,679,1,F,3,2,Pesquisador,4,Casado,6322,1,Sim,12,3,4,1,6,2,2,6,4,0,5
30,Não,Frequentemente,Pesquisa & Desenvolvimento,3,3,Medicina,680,3,F,3,1,Pesquisador,3,Divorciado,2083,1,Não,20,4,3,1,1,2,3,1,0,0,0
53,Não,Raramente,Vendas,1,1,Medicina,682,4,F,3,2,Executivo de vendas,1,Solteiro,8381,7,Não,20,4,4,0,18,2,4,14,7,8,10
34,Não,Raramente,Pesquisa & Desenvolvimento,1,5,Ciências da vida,683,2,M,3,1,Pesquisador,4,Casado,2691,1,Não,12,3,4,1,10,4,2,10,9,8,8
45,Sim,Frequentemente,Vendas,26,4,Ciências da vida,684,1,F,3,2,Executivo de vendas,1,Casado,4286,2,Não,14,3,4,2,5,4,3,1,1,0,0
